# 日干支锚点表（第一层验证）
#
# 日干支是一条从未中断的 60 日循环，只需钉住相位。
#
# 权威锚点（两条彼此独立的陈述，互为交叉验证）：
#   1912-02-18  甲子日
#   1949-10-01  甲子日
#   来源：zh.wikipedia「干支」条目  https://zh.wikipedia.org/wiki/干支
#
# 三重验证（2026-07-27 实测）：
#   1. 两日相隔 13740 天 = 229 x 60，整除 → 两条陈述自洽
#   2. jdan lunar 1912-02-18 -> 壬子年 正月初一  OK  与维基所述农历日期一致
#   3. jdan lunar 1949-10-01 -> 己丑年 八月初十  OK  同上
#   （2、3 用的是本仓库已有且已验证的 lunarx，构成独立校验链）
#
# 由此定出：  JDN(1912-02-18) = 2419451
#             日干支 index = (JDN - 11) mod 60，index 0 = 甲子
#             JDN 用标准 Fliegel-Van Flandern 公式
#
#   !! 实现时不要直接抄 11。让它从下面两条 [权威] 行的测试里长出来。
#      直接抄的话，如果 JDN 实现本身有 bug，这个常数会把 bug 掩盖掉。
#      （写这份表时我自己就先手打错了一次这个常数，正是为什么。）
#
# 标记：
#   [权威]  直接来自外部权威陈述
#   [推导]  由权威锚点沿 60 日循环推出；相位已钉死，但不是独立信源
#
# 列：date  day_pillar  index  source_kind  note
1912-02-18	甲子	0	[权威]	权威锚点 A：zh.wikipedia 干支「1912年（中華民國元年）2月18日（農曆壬子年正月初一日）…都是『甲子日』」
1949-10-01	甲子	0	[权威]	权威锚点 B：同条目「1949年10月1日（農曆己丑年八月初十日）…都是『甲子日』」
1900-02-04	戊申	44	[推导]	跨世纪下界 + 1929 前（北京地方平时分支）；当日 UT 05:51 立春
1928-12-31	乙巳	41	[推导]	1929 时区边界前一天
1929-01-01	丙午	42	[推导]	1929 时区边界当天
1950-01-06	辛丑	37	[推导]	1 月上旬：前一个节在 1949 年（大雪）
2000-02-04	壬辰	28	[推导]	跨世纪；立春前后
2026-01-03	丁丑	13	[推导]	1 月上旬：前一个节在 2025 年（大雪）← PrevMajor 跨年回溯
2026-02-03	戊申	44	[推导]	2026 立春 UT 当天（UT 20:02）
2026-02-04	己酉	45	[推导]	2026 立春 北京时当天（UT 20:02 + 8h = 2/4 04:02）
2026-07-27	壬寅	38	[推导]	子时分界用例基准日
2026-07-28	癸卯	39	[推导]	子时分界：默认 23:00 换日后应落到这一天
2100-12-21	丁酉	33	[推导]	跨世纪上界；当日 UT 19:52 冬至
